song_id,country,Number_of_times
B4FAeCI287axk/1XvEPy20q8jg==,BR,3556
BaffEW/wUPhKlUEUqQCJAJbcCg==,BR,3489
AS0d8sf67M0KvXqnL06xArZrAQ==,BR,3463
CmNHmkCAmmIdGzmwjpQSnZGuTQ==,BR,3406
BZO5qVLT5KpuPLMESFYHezgK5Q==,BR,3402
CPguDzQmTz6N0YnQ8KeXmfScKA==,BR,3365
CH0JLvvIL2JK1bSF4dxvHzlYEA==,BR,3362
CAJH1ixozgML7OffatNaE6laeA==,BR,3339
AWf6YD/4pWZ2FLafcDQyivi+sQ==,CO,5486
ASaww7jZUAMz5jn1erJVF5pjzQ==,CO,3974
BRzFlPCEoQuq6K0WXSD2UUT0Ew==,CO,3632
CPt/L1/y6Kd5dXubKZzpP3eFmQ==,CO,3057
ClRoS30Upin2E68Z3i8T3SFv5g==,CO,2890
AFNqtWTdux1p5C+Bnv+yW8yBFQ==,CO,2677
BifwTCeI9mopqjf9Or9jZxtyTA==,CO,2584
CmBHFxVH6ugNJtqDl8ojsGV3lg==,CO,2232
Cc5t6Gue+bCd+chi7GIWvYUQNg==,CO,1782
B5nvXzlBns3/3n3D7y1ywVZsaw==,CO,1613
BuN1OQ9UPNkP2BB9I/CkCvowrQ==,CO,1531
AnX6KA22LhSSRYMxuitqhs6rEg==,CO,1530
CVAMETAvPK3c3GrNIZZgJux5Ug==,CO,1418
CS9q0bIPoJOPltNqg6UfYKG/ng==,CO,1316
B+38U0V2gd3HxXgPisZx8tRccA==,CO,1265
AlaySwVSwgAvsgn4A2eveHAO8w==,CO,1129
CngNiu7VVb3eRJ7Sy3k71wWT4A==,CO,1083
AyVZbv4I3NyllCi9ixHYNc0GWw==,CO,1020
AUP+RCy1ffxxLeOttdbwJZX86Q==,CO,1008
Ao8gCE8tR5y40aAwlF1loi9J3A==,DE,14986
CDgqqTu5lRWeritHtezJZ5wSHQ==,DE,11155
BWA2etFy2C9IyhbJmETK7+TRtA==,DE,9328
Cm5mgNgWqDqW2OlBtTCOa/4Hdw==,DE,7945
BteBPmzSACcHwy4nyT1vmhB6gw==,DE,7395
Ap8rbfm6mEBKMrzKbvkB45KG4A==,DE,7305
BcVQ1VXatSYr2EUYBe9xQR0o1A==,DE,7197
B+38U0V2gd3HxXgPisZx8tRccA==,DE,6720
CExRegAXE91jFuzc4j5/ubryUw==,DE,4205
BjiKq+qLWDoFwVJvCiHDpH+bOg==,DE,4129
AA7Jh3FuJHM6Zy+D/kmg0PhXFA==,DE,3950
BrJ0DDzSNZQCFWi8N5KJ1gE4MA==,DE,3858
BMx8MTshpfm43uUfguDs1RAGTA==,DE,3551
CQZ/F36ODK82I+UG0MsgTy8pLg==,DE,3162
BXgY/umqYk+P5YTkFwgh14TeyA==,DE,3090
BxJ1tj3UVYCqiwDsOGp415HOYA==,DE,3057
B5D0Xqo128Zji+3EzmJpjXBadA==,DE,2961
ALMZ5IAy/k7MAlBFyycFA5RWOg==,DE,2896
CAiWFEFktF52ON+wqoUrOkUQVA==,DE,2753
BBhH740pNZ2y/chQgvjDlgFQoQ==,DE,2669
BReHySlJVarI6jDQJAnAKO8USw==,DE,2495
AjCm9OoNLEIAW1pftahODe1weA==,DE,2318
ASmpfV917uWqDXtvJUeMfLWqSA==,DE,2280
CrlgLlmyOV/IW1TplQh2tHof7g==,DE,2217
AKlYlWcABFmDuOQD30qEP/xMUw==,DE,2168
CrMclPIcKLkajpxKkBJg/EyU+g==,DE,2085
APK5wIveXKZp97ht28Q5iLRJMw==,DE,2083
A8kD15tT/75eZxZreJirqAD7fA==,DE,2070
CG3ZtEbFreaqzP2j7rHGwC5bJw==,DE,2061
B44jgstWJsiYd2aFYva0fbMEbw==,DE,1899
CgU8qxXYnyPC+MH6fARn+IN9mg==,DE,1892
CS9q0bIPoJOPltNqg6UfYKG/ng==,DE,1871
BCgYY3pC5HnRMhU0/Bnlnskxyg==,DE,1853
ANR/yOuIDlpszF407Io8S+Bkmg==,DE,1824
B+nVmBu+O5e7BvDm2UtE0G8jqg==,DE,1815
Ak8LBru+4fMqDeubUzbR4/FAsA==,DE,1812
BuN1OQ9UPNkP2BB9I/CkCvowrQ==,DE,1777
ALXWp/Qnqy07KiMAjh+3ZH6YBw==,DE,1711
Bq1Ex9gTt9dHzP7n7Z1eQiJWQg==,DE,1671
ATQcva55dSy71ryYz5WlQYDDlw==,DE,1612
BH8SfVwNLQ1nFsyOu7SE8dv7Mw==,DE,1580
AS0d8sf67M0KvXqnL06xArZrAQ==,DE,1578
CeGz+RuPdiugCZFSh/O1ASAPxQ==,DE,1557
CqpKTqbUSnYQBHtTUJsNnedEWw==,DE,1543
AZK3O2dLoYUvbdyVJv9iIWi06g==,DE,1540
CGk3bWLGH9k9VLMyorjQI55p+Q==,DE,1507
Cd0tLs7nfvLDJKQbol8ljxHLZQ==,DE,1507
CZAnfkpOcZuH/1YnqfZhINiLsg==,DE,1446
CB/CdwifjAR3ibGe/IQVXro6mA==,DE,1443
CB/A7fbijbjXoJwOrb8tTAu4FQ==,DE,1440
AiKk6TfYiLWa/KLhfz5YFB6RHA==,DE,1417
BFYe8OZU2DEI0r/5aX6jlz9nTQ==,DE,1389
BdKavkKbkipM/b8VWim4dWSqwQ==,DE,1384
Bm5xswF172QakRYu9Tes8oK2xA==,DE,1353
CoBKZQXcdBZnzaa4uWOPu/Oxlw==,DE,1352
AYKqNzx2n77MqAUc1F3x/vmKKQ==,DE,1328
AyVZbv4I3NyllCi9ixHYNc0GWw==,DE,1295
CFPQlNh+HwgE/q0xR/OiVzEX7A==,DE,1279
CNsQ4NwLWtwUqCg67OLRcXKvkg==,DE,1267
CJppoNZrG7HEnjCq3QH+hiXSJQ==,DE,1256
ArR38dFB9aZC3bzO0uyT4PWZ+Q==,DE,1250
BjQeN4Uyps+/GcfL0uVPNHKgcw==,DE,1247
Ah/nXVl17R9kUEfOSdJ0GmEBIA==,DE,1245
BwWi9wZ1bY8FlaXQNYxXhxiGVA==,DE,1224
CDKQJyTcQOD1+8et7ZdFL2XoKg==,DE,1197
CEXDFSkOtRmsWKwsPJWWpuEfjA==,DE,1173
AvEIGzQN1lmcvyTu+ylVO2DenA==,DE,1150
At5pBnCKMcHLmtp0hs1//P9MHQ==,DE,1133
BsrtaSeSUw5E5cgN22rPuR1ZOg==,DE,1110
At41NY7FIT6hOgOTW/RzRwhOzw==,DE,1091
AWYfkoj7S2wigV8nLsyJOlESvA==,DE,1085
CRDL66knY+nfoLmOUusjQVcPOw==,DE,1079
CaO5YHqeXkuMca6qKMK/ufbB0A==,DE,1078
BNsZF2nL4RWRD1axwvDn0+ir8g==,DE,1072
BZKuA8VaaOYm9TOm6/GzW3DuJQ==,DE,1046
ByfH4ZBlJRJi1BheQaWLjjA6Vg==,DE,1042
A8If4jhcgb0Dqb+wxX++DXYJkQ==,DE,1034
Ci1usMaGHcAMwt6p4ddX3N4T/A==,DE,1033
CZ+3vCIZns050UJhltytKIXRRw==,DE,1028
B/X1FjGDVtXdE96BvLeNfzP1BQ==,DE,1004
Bq3FUlexj+Oi6Jdua0rdHgGpuA==,DZ,1842
CIuQae501R7q66jcgeDveLAgrw==,DZ,1841
A+47QLTduLD8hkJBMxrIwCaeSg==,DZ,1089
B6unz6kdAnwGV6+HB787rEWHWQ==,EG,1969
A2XPwq6EKuYq/x6lq0mvA8QiDQ==,EG,1940
Ak2hd/zcKQT4p0Ktlbx5kxbSzA==,EG,1133
Anay4GHoh8jARMWOlrLRPvJ5tA==,EG,1124
CmBHFxVH6ugNJtqDl8ojsGV3lg==,ES,1241
Bq3FUlexj+Oi6Jdua0rdHgGpuA==,FR,131449
CXA/+pabOzzmbtCjqaLKwTgF9g==,FR,104838
A+47QLTduLD8hkJBMxrIwCaeSg==,FR,103144
CIuQae501R7q66jcgeDveLAgrw==,FR,67808
BVdINUEowUsanLQXK/eHArC8Ag==,FR,39368
AluOoPgOTpHu2YwDKOTSOHqqFg==,FR,31506
B+oEP5bXGHlASRF+Gp/l3U9HcA==,FR,30936
BggwjJYgWLdxp3cBkNBFdJ+XcQ==,FR,30791
AFzs6HBcVtVNh0bppP6htQkisA==,FR,30657
B+38U0V2gd3HxXgPisZx8tRccA==,FR,28814
BMx8MTshpfm43uUfguDs1RAGTA==,FR,27585
CZEF+Bahocz1h0F3qWBwU6s4wg==,FR,27377
CAYp2OqkCNIsBczbBdK0H1uRzA==,FR,25859
B4FNy3xNaVSg5Jf8kpObuWhfJg==,FR,25536
BWA2etFy2C9IyhbJmETK7+TRtA==,FR,24718
AfufLXH9rzUkp0zHqLdJpkTrGg==,FR,20727
AM9hbaajJnsk948qcCXV2sAKFg==,FR,20176
CAiWFEFktF52ON+wqoUrOkUQVA==,FR,19184
